file,misclassified
filtered_247302900_20240527_0947-20240527_1002_standardized_10s.csv,3
filtered_219793000_20240523_0242-20240523_0257_standardized_10s.csv,3
filtered_219027298_20240525_1246-20240525_1301_standardized_10s.csv,3
filtered_220295000_20240527_1100-20240527_1115_standardized_10s.csv,3
filtered_219616000_20240530_0332-20240530_0346_standardized_10s.csv,3
filtered_261004881_20240528_1330-20240528_1345_standardized_10s.csv,3
filtered_219793000_20240524_0412-20240524_0427_standardized_10s.csv,3
filtered_220600000_20240522_1609-20240522_1624_standardized_10s.csv,3
filtered_219001518_20240528_1924-20240528_1939_standardized_10s.csv,3
filtered_219017895_20240528_2245-20240528_2259_standardized_10s.csv,3
filtered_261004881_20240530_1945-20240530_2000_standardized_10s.csv,3
filtered_228123800_20240527_0437-20240527_0452_standardized_10s.csv,3
filtered_220225000_20240526_0415-20240526_0430_standardized_10s.csv,3
filtered_235008380_20241126_1653-20241126_1708_standardized_10s.csv,3
filtered_219793000_20240527_1130-20240527_1145_standardized_10s.csv,3
filtered_244700959_20240530_1158-20240530_1213_standardized_10s.csv,3
filtered_261004881_20240524_1915-20240524_1930_standardized_10s.csv,3
